uttid,si_snr_noisy,si_snr_enhanced,improvement
00057,-64.02548217773438,-20.686819076538086,43.33866310119629
00058,-38.136905670166016,-32.879669189453125,5.257236480712891
00059,-18.07263946533203,-43.67746353149414,-25.60482406616211
00060,-22.597129821777344,-17.280424118041992,5.316705703735352
00061,-43.18569564819336,-29.60179901123047,13.58389663696289
00062,-51.658897399902344,-32.99021530151367,18.668682098388672
00063,-32.89912033081055,-33.73798751831055,-0.8388671875
00064,-33.77162551879883,-49.60200500488281,-15.830379486083984
00065,-30.024330139160156,-26.47709846496582,3.547231674194336
00066,-29.093822479248047,-26.187801361083984,2.9060211181640625
00067,-22.416324615478516,-57.21527099609375,-34.798946380615234
00068,-38.982139587402344,-69.07138061523438,-30.08924102783203
00069,-33.229164123535156,-39.162593841552734,-5.933429718017578
00070,-35.13920211791992,-33.188209533691406,1.9509925842285156
00071,-38.92593765258789,-34.46617889404297,4.459758758544922
00072,-51.80449676513672,-36.825801849365234,14.978694915771484
00073,-54.774513244628906,-31.875572204589844,22.898941040039062
00074,-36.32075881958008,-33.62581253051758,2.6949462890625
00075,-38.02964782714844,-25.249488830566406,12.780158996582031
00076,-31.12543296813965,-48.914634704589844,-17.789201736450195
00077,-16.098012924194336,-24.7910213470459,-8.693008422851562
00078,-17.48701286315918,-24.773578643798828,-7.286565780639648
00079,-11.870655059814453,-25.593017578125,-13.722362518310547
00080,-37.47837829589844,-33.13592529296875,4.3424530029296875
00081,-23.507917404174805,-29.732267379760742,-6.2243499755859375
00082,-39.48933410644531,-48.989707946777344,-9.500373840332031
00083,-36.535736083984375,-26.196260452270508,10.339475631713867
00084,-79.82571411132812,-58.45100784301758,21.374706268310547
00085,-45.93608474731445,-34.68086624145508,11.255218505859375
00086,-69.10149383544922,-37.704139709472656,31.397354125976562
00087,-34.47048568725586,-41.80183410644531,-7.331348419189453
00088,-35.77505111694336,-30.649778366088867,5.125272750854492
00089,-20.32362937927246,-26.69247817993164,-6.36884880065918
00090,-40.1829719543457,-32.103492736816406,8.079479217529297
00091,-26.991472244262695,-23.938884735107422,3.0525875091552734
00092,-39.650726318359375,-33.923370361328125,5.72735595703125
00093,-37.67176818847656,-39.96572494506836,-2.293956756591797
00094,-29.753694534301758,-41.22943878173828,-11.475744247436523
00095,-48.79827880859375,-53.25526809692383,-4.456989288330078
00096,-34.02302551269531,-32.79939270019531,1.2236328125
00097,-41.921653747558594,-44.421180725097656,-2.4995269775390625
00098,-44.44929122924805,-36.903656005859375,7.545635223388672
00099,-32.76571273803711,-17.614072799682617,15.151639938354492
00100,-32.5122184753418,-26.49372100830078,6.018497467041016
00101,-25.45400619506836,-37.311012268066406,-11.857006072998047
